,itemId,authorId,shareCount,playCount,commentCount,followingCount,followerCount,heartCount,videoCount,userId,uniqueId,nickName,verified,hashtags
35,6885915066810518789,6818262174948377605,2526,4000000,14400,8,21500,1200000,12,6818262174948377605,cebcity,Chloe Burns,False,"['bidenharris2020', 'biden2020', 'bidensigns']"
36,6882862360097279238,6615667063950196741,57100,4000000,45600,136,12800,1200000,21,6615667063950196741,frankmthompson,Biden 2020,False,"['biden2020', 'florida', 'trump2020', 'vote', 'joebiden', 'fyp']"
37,6883551124494814469,6723688181935555589,119200,5200000,18800,64,17200,1000000,2,6723688181935555589,shedoenstloveco,co,False,"['biden2020', 'trump2020', 'ps5', '2k21', 'xbox', 'timewarpscan']"
38,6875468178315545861,6788952885104903173,50700,3300000,38400,100,20900,1300000,114,6788952885104903173,ac1dwh0re.com,CAY🪐,False,"['biden2020', 'liberal', 'dumptrump2020']"
39,6833774004994592006,28419099,25100,4200000,27400,661,25400,3400000,191,28419099,alanuvaz,Alan🧍🏻❓‼️,False,"['fy', 'biden2020', 'capitalism', 'lgbt', 'trump2020', 'socialism', 'liberal', 'politics', 'fyp', 'greenscreen', 'healthyliving']"
40,6883987593856437509,6799817116961047557,78900,6300000,24100,41,69200,2800000,131,6799817116961047557,david.llamas,David Llamas,False,"['biden2020', 'trump2020', 'conservative', 'liberal', 'blm', 'maga', 'democrat']"
41,6879994571397336325,6804006606198047750,14400,3800000,37400,103,135700,1100000,168,6804006606198047750,yungintrae,Trae,False,"['biden2020', 'trump2020', 'foryou', 'vote', 'god', 'fyp']"
42,6886173012404538629,6878479857668391941,89700,7600000,15800,9,34600,1500000,29,6878479857668391941,ichangedmynam3,Matt C,False,"['badlipreading', 'presidential', 'smile', 'biden2020', 'trump2020', 'whitehouse', 'foryou', 'vote', 'funny', 'hilarious', 'inaguration', 'power', 'women']"
43,6886712464562523398,6779418053043979270,217900,3400000,0,39,19400,1400000,12,6779418053043979270,lostlonelysoul8,lostlonelysoul8,False,"['trump2020', 'biden2020', 'duck2020']"
44,6870318718623190278,6726880527759098885,29800,6300000,12300,277,6984,913800,23,6726880527759098885,abbiesmith016,Abbie Smith,False,"['biden2020', 'michigan', 'ivankatrump', 'trump2020', 'millennialsoftiktok', 'fktrump', 'fypシ', 'fyp', 'didyouknow']"
45,6889128763418873093,6725573896337196037,23400,4600000,44300,257,39600,2600000,379,6725573896337196037,hakunamatiti,m a t i a✨,False,"['trump2020', 'foryou', 'biden2020', 'fyp']"
46,6849717048193322245,6818623440666330117,14900,2800000,22200,725,531600,11900000,344,6818623440666330117,nikkinoo813,Nicole Williams,False,"['trumpsupporter', 'biden2020', 'foryou', 'trump2020', 'foryoupage', 'stupidcomments', 'fyp', 'dumptrump']"
47,6874361643510353158,6815328278494151685,9204,4300000,12200,326,286200,11200000,142,6815328278494151685,leahmelle,Leah,False,"['biden2020', 'progressive', 'liberal', 'politics', 'fyp']"
48,6846047534134201605,6814906498234319877,36000,6700000,46700,48,32800,1700000,3,6814906498234319877,ohill15,ohill15,False,"['trump2020', 'biden2020', 'fyp']"
49,6878054022448827653,6633396767361564677,28200,2400000,6682,562,83500,4700000,191,6633396767361564677,celestecherie,Celeste Gonsalves,False,"['biden2020', 'petty', 'fyp']"
50,6887365162857172229,6670254633221292037,12000,2400000,0,128,26900,2900000,124,6670254633221292037,megan.pretzelll,Megan,False,"['biden2020', 'tiktokfood', 'liberal', 'democrat', 'harris']"
51,6869829045752810758,8470716,10900,3000000,21500,414,299000,14800000,206,8470716,cowboyconor,Conor,False,"['biden2020', 'loveislove', 'blm', 'politics', 'republican', 'democrat']"
52,6860914703942569222,6631309007372845062,43300,4100000,4283,712,6828,866700,109,6631309007372845062,tricky.chicky,Alex 🙃,False,"['littlevoice', 'biden2020', 'millenial', 'election2020', 'biden', 'leg2020', 'fyp', 'genz']"
53,6841327650779254021,6757434958468236294,16900,3400000,7103,716,9826,889900,80,6757434958468236294,momoaraf,HuntingtonBeach boys,False,"['fy', 'biden2020', 'a', 'foryou', 'trump2020', 'comedy', 'funny', 'blacklivesmatter', 'foryoupage', 'fypシ', 'comebacks', 'fyp', 'protest', 'gotcha', 'foryourpage']"
54,6875055244355620101,8470716,11400,3400000,10700,414,299000,14800000,206,8470716,cowboyconor,Conor,False,"['biden2020', 'conservative', 'liberal', 'blm', 'politics', 'republican', 'democrat']"
55,6880950367127997702,6879933902514242566,12100,2700000,34600,237,38300,1400000,18,6879933902514242566,politicalclownn,Biden 2020,False,"['biden2020', 'foryou', 'trump2020', 'election2020', 'amongus', 'foryoupage', 'politics', 'fyp']"
56,6830621843376917765,6736951199076271110,48700,3500000,7692,942,5372,1200000,94,6736951199076271110,bensm.th,ben,False,"['greenscreen', 'biden2020', 'dundermifflin', 'theoffice', 'trump', 'greenscreenvideo']"
57,6881347463140183302,6604567454420500485,10700,2700000,17000,68,22200,900500,398,6604567454420500485,samano90,Lui Sama,False,"['greenscreensticker', 'biden2020', 'trump2020', 'comedy', '2020', 'razrfit']"
58,6847971129227840774,6809489621421065221,84000,2900000,9718,189,21000,785800,156,6809489621421065221,champagnemami4418,user4921383375250,False,"['biden2020', 'momsoftiktok', 'trump2020', 'masshole', 'std', 'comedy', 'funny', 'voteblue', 'theoldguard', 'hungergames']"
59,6886305690495896838,6638646428809052166,31300,2800000,30000,89,548600,20600000,128,6638646428809052166,meenaharris,Meena Harris,True,['biden2020']
60,6851763635027528965,6851688151414375429,23500,3900000,7122,223,10900,1100000,58,6851688151414375429,leftastronaut,The Left Astronaut,False,"['donaldtrump', 'biden2020', 'trump2020', 'libral', 'rebublican', 'joebiden', 'biden', 'conservative', 'politics', 'trump', 'democrat']"
61,6881663828443155717,6698291959444554758,12700,3000000,4132,389,7202,792000,39,6698291959444554758,scarlettfiona,scarlettfiona,False,['biden2020']
62,6890643577555160325,25915988,20800,2300000,35100,1199,733100,20500000,240,25915988,itzmarico,⚜️𝕶𝖎𝖓𝖌𝕽𝖎𝖈𝖔⚜️,True,"['biden2020', 'trump2020', 'foryou', 'vote', 'biden', 'election', 'foryoupage', 'trump']"
63,6854376215906684165,6753086625091290118,39300,2700000,11100,107,4761,751900,9,6753086625091290118,veronicaslaven,veronica,False,"['biden2020', 'xyzcba', 'foryoupage', 'fyp', 'fasterhorses', 'classof2020', 'quarantine', 'folklore']"
64,6886127745764543749,6739711415919707141,53200,3100000,87300,51,26000,1500000,36,6739711415919707141,roaming_bison,Tysonisbison,False,"['biden2020', 'trump2020', 'dontletthisflop', 'foryou', 'justlike', 'trending', 'goviral', 'politics', 'fyp', 'greenscreen', 'republican', 'democrat', 'justshare']"
65,6875734929523608837,6813366356247888902,13300,6200000,34900,127,137900,6000000,91,6813366356247888902,stephanietilneac,Steph Tilneac,False,"['biden2020', 'trump2020', 'vote', 'liberal', 'govote', 'fyp', 'settleforbiden']"
66,6873930362691521798,6674021009047913478,37100,2600000,14300,453,695400,30400000,1016,6674021009047913478,kieramarie.xx,kiera marie spann,False,"['biden2020', 'foryou', 'biden', 'election', 'viral', 'politics', 'fyp', 'trump', 'voteblue', 'republican', 'democrat']"
67,6881032330270575877,6724369391661908997,7981,2500000,4731,739,14800,1000000,281,6724369391661908997,ttorchie,Tori,False,"['biden2020', 'lgbt', 'vote', 'frog', 'liberal', 'fyp', 'debate', 'democrat']"
68,6880593760191778053,6671612245259354118,25300,2700000,7945,149,6435,779000,20,6671612245259354118,kathleeenpayne,kathleenlauraa,False,"['fallaesthetic', 'biden2020', 'america', 'foryoupage', 'emilyinparis', 'fyp', 'doggyanthem', 'christiangirlautumn']"
69,6878296074755362054,6811706674694439942,7165,3900000,32800,57,22100,864900,40,6811706674694439942,actually.matthew,Matthew S.,False,"['biden2020', 'lgbt', 'trump2020', 'nomoretrump', 'awake', 'fyp']"
70,6878061861741399301,11217678,81600,3900000,9747,530,4435,745300,49,11217678,heyitsmejennac,jen,False,"['biden2020', 'foryou', 'election2020', 'fucktrump', 'presidentialdebate', 'politics', 'fyp']"
71,6884675388090502405,6684773059712713734,59800,6200000,0,106,83000,1400000,128,6684773059712713734,analise_bergesen,ANALISE BERGESEN,False,"['biden2020', 'trump2020', 'election2020', 'america', 'foryoupage', 'politics', 'fyp']"
72,6888098034463329541,6617554401287864325,24400,2300000,23800,138,13300,3300000,292,6617554401287864325,bagelthot,rock,False,"['biden2020', 'handmaiden', 'amyconeybarrett', 'yougotthis']"
73,6878925222205066501,28473536,41400,2200000,26800,15,3022,772900,137,28473536,iticklemyself,iticklemyself,False,"['biden2020', 'trump2020', 'blm', 'fyp', 'conspiracytheory', 'settleforbiden']"
